criterion,constraints,parameters,algorithm,value
sum_of_squares_v1,[],x_1,pygmo_de1220,2.7976805320914207e-07
sum_of_squares_v1,[],x_2,pygmo_de1220,-1.689273309279998e-05
sum_of_squares_v1,[],x_3,pygmo_de1220,1.0962431749640291e-05
trid,[],x_1,pygmo_de1220,2.9999341341725776
trid,[],x_2,pygmo_de1220,4.000013737647341
trid,[],x_3,pygmo_de1220,2.999987223589992
rotated_hyper_ellipsoid,[],x_1,pygmo_de1220,-3.0827989616102096e-08
rotated_hyper_ellipsoid,[],x_2,pygmo_de1220,1.4101077552499663e-07
rotated_hyper_ellipsoid,[],x_3,pygmo_de1220,6.506366629691232e-07
rosenbrock_v2,[],x_1,pygmo_de1220,0.9999476772612002
rosenbrock_v2,[],x_2,pygmo_de1220,0.9998904324426525
rosenbrock_v2,[],x_3,pygmo_de1220,0.9997898585473924
sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,1.7520133872911517e-05
sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,4.988012785705736e-06
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,2.6666638328479406
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,2.3333771207699643
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,-5.910174239685177e-05
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,2.725933884501462e-05
rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,0.9999999685392161
rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,1.0000000192510816
sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
sum_of_squares_v1,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,pygmo_de1220,
