criterion,constraints,parameters,algorithm,value
sum_of_squares,[],x_1,pygmo_de1220,2.797680532091421e-07
sum_of_squares,[],x_2,pygmo_de1220,-1.689273309279998e-05
sum_of_squares,[],x_3,pygmo_de1220,1.0962431749640293e-05
trid,[],x_1,pygmo_de1220,2.9999341341725776
trid,[],x_2,pygmo_de1220,4.0000137376473415
trid,[],x_3,pygmo_de1220,2.999987223589992
rotated_hyper_ellipsoid,[],x_1,pygmo_de1220,-3.0827989616102096e-08
rotated_hyper_ellipsoid,[],x_2,pygmo_de1220,1.4101077552499663e-07
rotated_hyper_ellipsoid,[],x_3,pygmo_de1220,6.506366629691232e-07
rosenbrock,[],x_1,pygmo_de1220,0.9999476772612002
rosenbrock,[],x_2,pygmo_de1220,0.9998904324426524
rosenbrock,[],x_3,pygmo_de1220,0.9997898585473924
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,1.7520133872911514e-05
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,4.9880127857057365e-06
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,2.6666638328479406
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,2.3333771207699643
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,-5.910174239685177e-05
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,2.7259338845014623e-05
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,pygmo_de1220,1.0
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,pygmo_de1220,0.999999968539216
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,pygmo_de1220,1.0000000192510816
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,pygmo_de1220,
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,pygmo_de1220,
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,pygmo_de1220,
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,pygmo_de1220,
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,pygmo_de1220,
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,pygmo_de1220,
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,pygmo_de1220,
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,pygmo_de1220,
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,pygmo_de1220,
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,pygmo_de1220,
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,pygmo_de1220,
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,pygmo_de1220,
