constraint,criterion,parameters,algorithm,value
[],sum_of_squares,x_1,true_result,0.0
[],sum_of_squares,x_2,true_result,0.0
[],sum_of_squares,x_3,true_result,0.0
[],trid,x_1,true_result,3.0
[],trid,x_2,true_result,4.0
[],trid,x_3,true_result,3.0
[],rotated_hyper_ellipsoid,x_1,true_result,0.0
[],rotated_hyper_ellipsoid,x_2,true_result,0.0
[],rotated_hyper_ellipsoid,x_3,true_result,0.0
[],rosenbrock,x_1,true_result,1.0
[],rosenbrock,x_2,true_result,1.0
[],rosenbrock,x_3,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",sum_of_squares,x_1,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",trid,x_1,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",trid,x_2,true_result,2.666666667
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",trid,x_3,true_result,2.33333333
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rotated_hyper_ellipsoid,x_1,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]]",rosenbrock,x_3,true_result,1.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",trid,x_1,true_result,3.33333333
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",trid,x_2,true_result,3.33333333
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",trid,x_3,true_result,2.66666666
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rosenbrock,x_1,true_result,1.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rosenbrock,x_2,true_result,1.0
"[[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",sum_of_squares,x_1,true_result,0.66666667
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",sum_of_squares,x_2,true_result,0.33333333
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",trid,x_1,true_result,0.27272727
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",trid,x_2,true_result,0.72727272
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",trid,x_3,true_result,1.36363636
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.4
