,criterion,constraints,parameters,algorithm,value
0,sum_of_squares_v1,[],x_1,true_result,0.0
1,sum_of_squares_v1,[],x_2,true_result,0.0
2,sum_of_squares_v1,[],x_3,true_result,0.0
3,trid,[],x_1,true_result,3.0
4,trid,[],x_2,true_result,4.0
5,trid,[],x_3,true_result,3.0
6,rotated_hyper_ellipsoid,[],x_1,true_result,0.0
7,rotated_hyper_ellipsoid,[],x_2,true_result,0.0
8,rotated_hyper_ellipsoid,[],x_3,true_result,0.0
9,rosenbrock_v2,[],x_1,true_result,1.0
10,rosenbrock_v2,[],x_2,true_result,1.0
11,rosenbrock_v2,[],x_3,true_result,1.0
12,sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,true_result,1.0
13,sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,true_result,0.0
14,sum_of_squares_v1,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,true_result,0.0
15,trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,true_result,1.0
16,trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,true_result,2.666666667
17,trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,true_result,2.33333333
18,rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,true_result,1.0
19,rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,true_result,0.0
20,rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,true_result,0.0
21,rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,true_result,1.0
22,rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,true_result,1.0
23,rosenbrock_v2,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,true_result,1.0
24,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,true_result,0.0
25,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,true_result,0.0
26,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,true_result,0.0
27,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,true_result,3.33333333
28,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,true_result,3.33333333
29,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,true_result,2.66666666
30,rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,true_result,0.0
31,rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,true_result,0.0
32,rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,true_result,0.0
33,rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,true_result,1.0
34,rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,true_result,1.0
35,rosenbrock_v2,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,true_result,1.0
36,sum_of_squares_v1,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,true_result,0.66666667
37,sum_of_squares_v1,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,true_result,0.33333333
38,sum_of_squares_v1,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,true_result,0.0
39,trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,true_result,0.27272727
40,trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,true_result,0.72727272
41,trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,true_result,1.36363636
42,rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,true_result,0.4
43,rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,true_result,0.6
44,rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,true_result,0.0
45,rosenbrock_v2,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,true_result,
46,rosenbrock_v2,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,true_result,
47,rosenbrock_v2,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,true_result,
48,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,true_result,0.0
49,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,true_result,0.0
50,sum_of_squares_v1,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,true_result,0.0
51,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,true_result,2.66666666
52,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,true_result,3.33
53,trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,true_result,3.33
54,rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,true_result,0.0
